Department,YearsAtCompany,MonthlyIncome,OverTime,CommuteMinutes,JobSatisfaction,YearsSincePromotion,Attrition
Support,3.2,6433.0,Yes,6.0,3.8,1.8,0
R&D,0.3,5975.0,No,10.0,2.8,0.8,0
Sales,8.6,4700.0,No,8.0,1.3,1.5,0
R&D,0.7,3258.0,Yes,19.0,3.1,2.1,0
Sales,6.6,7683.0,No,32.0,3.7,1.2,0
R&D,24.6,4850.0,No,3.0,3.7,8.6,0
Sales,1.4,4358.0,No,21.0,3.4,1.1,0
Sales,6.4,6767.0,No,31.0,3.2,1.0,1
Sales,1.3,4150.0,Yes,5.0,3.9,0.6,0
R&D,4.1,3467.0,Yes,2.0,3.8,5.8,1
R&D,5.1,4625.0,Yes,7.0,1.6,7.2,1
Sales,11.5,5383.0,No,21.0,2.6,2.3,0
Support,9.6,5883.0,No,23.0,3.3,3.3,0
Sales,2.5,6242.0,No,5.0,3.2,2.3,0
Support,8.3,6925.0,Yes,14.0,4.0,1.2,0
Sales,6.6,5308.0,No,17.0,4.2,0.9,0
Sales,4.7,6025.0,No,28.0,3.4,3.3,0
Sales,3.6,5317.0,No,6.0,2.9,0.4,0
Sales,7.8,4533.0,No,8.0,4.8,6.8,0
Support,13.9,6083.0,No,18.0,2.5,2.7,0
R&D,3.7,6017.0,No,10.0,3.2,0.6,0
Support,1.3,8242.0,Yes,7.0,5.0,4.1,0
R&D,27.2,6375.0,No,6.0,3.8,1.1,0
Sales,8.5,4450.0,No,8.0,3.8,4.6,0
R&D,10.4,6375.0,No,13.0,3.3,7.1,0
Support,9.4,5117.0,No,30.0,4.4,0.4,0
R&D,4.4,7833.0,No,2.0,5.0,0.7,0
R&D,5.8,2958.0,Yes,24.0,3.6,1.3,1
Sales,20.3,4508.0,No,9.0,3.1,3.3,0
Support,1.3,4508.0,No,9.0,4.3,2.3,0
Support,6.0,5667.0,No,31.0,5.0,0.9,0
Support,9.7,5300.0,Yes,13.0,3.6,0.9,0
R&D,7.2,3133.0,No,19.0,2.5,0.5,0
Support,3.4,2725.0,No,8.0,3.6,3.4,0
R&D,8.0,5758.0,No,9.0,2.6,1.6,1
Sales,5.1,7667.0,No,16.0,4.2,3.0,0
Sales,2.7,7650.0,Yes,5.0,3.1,0.6,0
Sales,2.9,4900.0,No,11.0,3.8,0.8,0
Support,4.8,6175.0,No,2.0,3.4,1.9,0
Sales,8.8,4208.0,Yes,6.0,4.0,1.5,0
Support,14.9,3350.0,Yes,8.0,1.4,1.3,0
R&D,4.4,7308.0,No,5.0,3.6,6.3,0
Sales,1.7,6500.0,No,10.0,3.5,0.8,0
Support,8.7,5000.0,No,17.0,3.6,3.8,0
R&D,2.3,4942.0,No,3.0,2.0,1.6,0
Sales,16.5,6858.0,No,24.0,4.5,2.1,0
R&D,1.4,5975.0,Yes,7.0,2.7,1.2,1
R&D,6.1,5000.0,No,13.0,3.7,1.6,0
Sales,6.0,5917.0,No,4.0,2.8,2.4,0
R&D,7.1,5483.0,No,26.0,3.1,4.8,0
Support,11.3,4892.0,No,5.0,2.9,2.4,0
R&D,7.4,4442.0,No,11.0,1.8,0.1,0
Support,3.7,6867.0,No,18.0,2.7,1.3,0
R&D,3.1,4800.0,No,8.0,4.5,5.0,1
Sales,3.2,3758.0,No,5.0,2.2,1.5,1
Sales,4.0,8175.0,No,9.0,3.4,6.2,0
Sales,6.3,7342.0,No,8.0,1.7,0.2,0
Support,16.1,6275.0,Yes,19.0,4.3,6.4,0
Support,2.3,5408.0,No,42.0,2.0,0.3,0
R&D,5.8,5792.0,Yes,5.0,2.2,1.5,1
Sales,9.0,3358.0,No,5.0,3.1,5.9,0
Support,2.9,5475.0,No,17.0,3.8,1.6,0
R&D,7.2,5908.0,No,11.0,2.1,3.3,0
R&D,2.2,5200.0,No,9.0,3.2,5.4,0
Support,3.9,6142.0,Yes,20.0,3.8,1.0,0
R&D,6.7,4367.0,Yes,9.0,3.3,2.5,0
Sales,3.0,5767.0,Yes,19.0,2.6,0.7,0
Support,2.5,3175.0,No,28.0,3.7,3.1,0
R&D,7.1,5450.0,Yes,19.0,4.3,3.0,0
Sales,6.0,4583.0,No,18.0,5.0,5.7,0
R&D,5.9,3525.0,No,38.0,4.5,2.6,0
Sales,1.2,4900.0,No,11.0,1.7,1.9,0
R&D,2.4,5517.0,No,13.0,4.5,0.8,0
Support,9.3,4600.0,Yes,20.0,4.2,3.1,1
R&D,26.3,6850.0,No,3.0,3.6,0.6,0
R&D,3.1,4450.0,Yes,14.0,3.9,5.4,0
Sales,13.3,6858.0,No,6.0,4.3,2.3,0
R&D,1.6,6550.0,Yes,9.0,3.1,5.5,0
R&D,2.6,4583.0,No,12.0,2.2,2.3,0
R&D,10.1,7583.0,No,6.0,3.1,3.5,0
Support,4.0,3467.0,Yes,18.0,3.9,1.9,1
R&D,4.8,6258.0,Yes,6.0,2.8,0.9,0
Support,2.6,5567.0,Yes,5.0,2.7,2.2,0
R&D,2.2,6592.0,No,11.0,2.1,1.6,0
R&D,16.4,3158.0,No,9.0,3.8,4.7,0
R&D,10.3,3717.0,No,17.0,2.3,1.9,0
Support,5.5,4242.0,Yes,6.0,3.1,0.1,0
Sales,1.6,5492.0,No,7.0,2.6,0.9,0
R&D,3.1,5583.0,No,27.0,4.5,7.0,0
R&D,1.4,5483.0,Yes,36.0,4.2,4.3,0
Support,9.3,5067.0,No,8.0,5.0,6.5,0
R&D,2.6,4408.0,No,14.0,2.7,3.0,1
R&D,12.3,3433.0,No,12.0,2.4,1.2,0
Sales,6.8,4817.0,No,9.0,3.6,3.9,0
R&D,2.2,6225.0,No,11.0,2.0,4.7,0
Support,5.3,6933.0,Yes,4.0,2.9,1.8,0
R&D,7.1,4700.0,No,13.0,3.9,2.1,0
Sales,5.8,7017.0,No,2.0,3.4,4.6,0
Support,7.7,3450.0,No,19.0,4.1,1.7,0
Sales,6.6,6583.0,No,12.0,2.6,3.2,0
Sales,9.9,3842.0,No,14.0,2.9,3.0,1
R&D,13.5,5792.0,No,4.0,3.2,2.6,0
R&D,3.7,4033.0,No,13.0,4.1,0.7,0
Support,8.0,4008.0,No,8.0,4.3,1.5,0
Sales,11.8,4633.0,Yes,5.0,4.4,3.0,0
Sales,6.6,7525.0,Yes,5.0,3.4,3.1,0
Sales,4.3,4458.0,No,21.0,2.6,1.9,0
Sales,10.2,6350.0,No,11.0,2.9,4.3,0
Support,4.3,5658.0,Yes,18.0,3.3,4.5,0
R&D,3.8,5875.0,No,22.0,1.9,0.7,1
Sales,0.6,5892.0,Yes,18.0,2.5,4.0,0
Support,4.5,6358.0,Yes,32.0,1.7,4.8,0
Sales,7.4,3667.0,No,16.0,3.6,3.2,0
Sales,22.7,5500.0,No,6.0,3.5,0.9,0
Support,6.6,5950.0,No,2.0,2.5,3.3,0
R&D,8.9,4583.0,No,6.0,4.2,2.0,0
R&D,4.6,5958.0,No,6.0,3.4,1.1,0
R&D,13.4,3942.0,No,11.0,3.2,0.8,0
Sales,3.0,6500.0,No,5.0,3.9,0.7,0
Sales,7.4,4408.0,No,13.0,3.6,2.9,0
Support,22.8,5025.0,No,5.0,2.3,0.2,0
Sales,5.5,6600.0,No,5.0,2.7,5.0,0
R&D,4.6,7017.0,Yes,21.0,2.0,0.4,0
R&D,6.9,4600.0,Yes,4.0,3.9,3.0,0
Sales,5.1,4500.0,No,10.0,3.2,4.7,0
Sales,8.0,6883.0,No,7.0,4.1,0.5,0
R&D,10.3,2083.0,No,15.0,2.7,3.6,0
Support,8.7,7400.0,Yes,26.0,2.2,3.5,1
R&D,5.1,7333.0,Yes,15.0,4.3,1.2,0
R&D,0.9,3875.0,Yes,6.0,4.1,3.5,1
R&D,32.7,7183.0,Yes,11.0,2.0,1.9,0
R&D,15.2,5967.0,No,21.0,4.3,6.3,0
R&D,7.7,6108.0,Yes,10.0,2.7,0.4,0
R&D,14.9,2083.0,No,17.0,4.7,1.7,0
R&D,1.9,4717.0,Yes,15.0,3.8,5.5,0
Sales,9.5,5150.0,No,6.0,2.8,5.2,0
Support,5.9,4833.0,No,28.0,3.1,2.7,0
Sales,7.7,4867.0,No,11.0,3.2,1.6,0
R&D,6.4,5008.0,No,4.0,1.0,1.4,0
Sales,6.5,2083.0,No,5.0,3.9,7.1,0
R&D,3.6,5142.0,No,18.0,3.0,1.3,0
Sales,3.9,4417.0,No,6.0,4.0,2.6,0
R&D,5.7,5300.0,Yes,5.0,1.0,0.6,0
Sales,2.3,4700.0,No,18.0,4.0,2.0,0
Sales,3.7,5425.0,No,19.0,3.3,1.7,0
Sales,5.1,5842.0,Yes,14.0,2.3,1.7,1
R&D,7.8,8033.0,Yes,11.0,5.0,6.0,0
R&D,2.7,4217.0,No,5.0,4.1,1.2,0
Sales,14.0,7908.0,No,6.0,2.4,4.9,0
R&D,2.9,5075.0,Yes,16.0,2.6,1.0,0
R&D,1.2,4117.0,No,3.0,3.9,0.5,0
R&D,8.9,3300.0,No,15.0,5.0,1.3,0
R&D,7.5,6692.0,No,8.0,3.8,9.3,0
R&D,9.1,3200.0,No,24.0,2.9,0.7,1
R&D,3.3,6758.0,Yes,6.0,5.0,2.3,0
Support,4.4,5933.0,Yes,21.0,2.8,0.4,0
Support,7.4,4592.0,Yes,22.0,4.5,2.0,0
Sales,14.3,4442.0,No,8.0,3.9,1.7,0
R&D,5.4,6133.0,No,9.0,3.2,1.0,0
R&D,7.9,5650.0,No,16.0,2.8,0.8,0
R&D,5.9,6508.0,Yes,8.0,2.8,4.7,0
R&D,7.0,5417.0,No,11.0,3.3,1.0,0
Support,4.6,4667.0,Yes,13.0,4.6,2.9,0
Support,6.1,6208.0,Yes,16.0,3.3,1.3,0
Sales,8.6,3658.0,No,33.0,2.5,0.4,0
Support,17.9,6667.0,No,34.0,4.6,0.4,0
Support,3.3,5500.0,No,10.0,4.3,4.6,0
R&D,1.7,3775.0,No,22.0,3.4,4.6,0
Sales,7.4,3925.0,No,7.0,4.5,3.3,0
Support,5.3,4942.0,Yes,13.0,3.5,3.7,0
Sales,3.5,2742.0,No,14.0,5.0,2.2,1
Support,30.9,7467.0,Yes,9.0,3.2,2.3,0
Sales,11.4,6842.0,No,6.0,2.6,1.5,0
Support,4.4,3808.0,No,5.0,2.9,0.8,0
Support,4.4,5250.0,No,14.0,3.4,4.1,0
Support,4.2,7917.0,No,9.0,3.5,0.7,0
R&D,8.6,6008.0,No,10.0,2.8,2.8,0
R&D,8.6,3925.0,Yes,21.0,2.8,5.4,1
R&D,5.4,2242.0,No,18.0,2.1,0.3,0
Support,2.4,3000.0,Yes,11.0,2.8,2.4,0
R&D,13.6,7175.0,No,1.0,4.8,2.6,0
Sales,11.5,5883.0,Yes,3.0,3.1,1.4,0
R&D,6.4,3483.0,No,18.0,2.4,3.3,0
Sales,1.7,6458.0,No,7.0,2.7,0.5,1
R&D,12.3,4883.0,Yes,16.0,2.6,1.5,0
Sales,2.3,4433.0,No,17.0,3.2,6.0,0
R&D,5.3,4650.0,Yes,25.0,2.5,3.8,0
R&D,21.3,4733.0,No,8.0,4.4,2.4,0
Sales,4.4,7883.0,Yes,7.0,2.5,0.6,0
Support,22.0,4017.0,No,12.0,3.1,3.3,0
R&D,3.9,4825.0,No,16.0,4.7,4.9,0
Sales,12.8,7392.0,No,11.0,3.3,1.3,0
Sales,3.6,7642.0,No,8.0,4.5,0.9,0
Support,3.3,3967.0,Yes,7.0,3.1,2.0,0
Support,1.7,8475.0,Yes,9.0,4.0,0.9,0
Sales,9.1,7050.0,Yes,8.0,5.0,2.3,0
Sales,1.8,3217.0,No,12.0,2.5,3.5,0
Sales,16.7,8092.0,No,22.0,3.8,1.9,0
R&D,3.7,3225.0,No,38.0,2.3,0.7,0
R&D,7.7,6425.0,No,12.0,3.3,2.2,0
Sales,1.0,3708.0,Yes,13.0,2.7,6.1,1
R&D,4.8,2775.0,Yes,6.0,3.4,2.6,0
Sales,1.7,6683.0,No,26.0,2.2,4.0,0
Sales,3.8,6042.0,No,19.0,1.3,1.9,0
R&D,13.1,5300.0,No,8.0,3.8,0.9,0
R&D,7.3,5700.0,No,10.0,3.4,6.6,0
Sales,11.5,5267.0,Yes,1.0,4.5,0.0,0
R&D,11.6,5033.0,No,7.0,3.5,1.5,0
Sales,1.2,3833.0,No,12.0,3.4,6.6,0
R&D,6.5,6283.0,No,8.0,2.5,3.5,0
Sales,7.8,5450.0,No,8.0,2.0,4.1,0
Sales,1.6,5058.0,Yes,30.0,3.4,0.4,1
Sales,2.1,4575.0,No,15.0,2.2,1.0,1
Support,4.8,5000.0,No,7.0,4.6,0.1,0
R&D,13.1,3167.0,No,24.0,4.6,1.5,0
Sales,3.6,4958.0,No,11.0,3.8,1.0,0
Support,10.2,3958.0,Yes,11.0,4.4,1.8,0
R&D,0.4,7325.0,No,16.0,3.2,0.5,0
R&D,6.3,4000.0,No,9.0,2.8,5.2,0
R&D,18.5,4750.0,No,28.0,5.0,0.9,0
Sales,6.8,5442.0,No,5.0,3.1,1.7,0
R&D,2.3,6600.0,Yes,11.0,4.5,4.6,1
R&D,3.4,6100.0,Yes,3.0,2.6,2.1,0
Sales,7.3,5442.0,Yes,25.0,3.7,2.6,0
Sales,10.8,8633.0,No,22.0,4.1,0.7,0
Sales,6.5,5392.0,Yes,18.0,1.7,8.1,0
Sales,15.1,5900.0,No,7.0,1.9,5.9,1
R&D,7.0,9483.0,No,25.0,2.6,3.2,0
R&D,7.5,4092.0,Yes,10.0,3.0,3.3,0
R&D,3.4,6850.0,Yes,4.0,3.3,3.0,0
Sales,5.5,6075.0,No,19.0,2.6,3.5,0
Support,2.1,3458.0,No,16.0,2.6,0.7,0
Support,4.3,4492.0,Yes,10.0,2.3,5.2,1
R&D,14.1,6658.0,Yes,7.0,2.3,0.8,0
R&D,3.4,3258.0,No,19.0,3.6,1.1,0
R&D,8.6,5142.0,No,3.0,2.8,4.6,0
R&D,4.0,6808.0,Yes,7.0,2.3,1.1,0
R&D,9.6,5067.0,No,9.0,2.2,1.5,0
R&D,2.8,5817.0,No,15.0,2.5,4.0,0
R&D,7.0,4425.0,No,22.0,1.8,1.4,1
Sales,10.8,4492.0,No,23.0,3.5,3.8,0
Support,9.5,4500.0,No,14.0,3.7,0.7,1
Sales,7.2,4892.0,No,3.0,2.0,4.4,1
R&D,7.3,6358.0,Yes,1.0,2.8,0.7,0
Sales,6.3,5533.0,No,12.0,2.9,2.2,1
R&D,5.3,8350.0,Yes,7.0,4.0,1.8,0
Support,7.8,6242.0,Yes,8.0,2.6,1.1,0
Sales,2.2,5833.0,No,35.0,3.0,2.0,0
Sales,15.2,8758.0,No,20.0,2.3,0.6,0
R&D,2.9,5250.0,No,16.0,2.4,6.6,0
Sales,5.5,4217.0,Yes,9.0,2.7,2.2,0
Sales,0.3,5642.0,No,7.0,5.0,2.6,0
Sales,4.6,3792.0,No,16.0,4.3,1.1,0
Support,10.5,6183.0,No,1.0,3.6,3.6,0
Support,11.7,7450.0,Yes,24.0,3.5,3.5,0
Support,4.4,6367.0,Yes,16.0,1.9,6.0,0
Sales,9.6,4808.0,No,2.0,2.4,4.1,0
R&D,1.2,5200.0,Yes,1.0,4.0,1.0,0
R&D,8.5,6133.0,No,7.0,3.3,4.9,1
Sales,16.5,7175.0,No,10.0,4.3,1.7,0
R&D,6.4,4825.0,No,7.0,3.3,1.5,0
R&D,2.7,4800.0,No,18.0,3.8,1.3,0
R&D,3.3,7033.0,No,5.0,3.4,4.4,0
R&D,1.0,5742.0,Yes,3.0,3.8,4.5,0
R&D,3.9,5933.0,Yes,2.0,3.6,2.1,0
Sales,1.4,6142.0,Yes,18.0,4.3,0.2,0
Support,9.5,4267.0,No,6.0,2.8,3.6,0
Support,3.7,5200.0,No,8.0,3.1,2.6,0
R&D,5.3,7000.0,Yes,21.0,2.7,2.3,0
Sales,11.7,5183.0,No,2.0,3.3,1.2,0
Sales,8.2,5125.0,No,5.0,3.7,1.5,0
Support,2.9,5867.0,No,19.0,3.4,3.1,0
R&D,6.1,6000.0,No,14.0,1.5,0.9,0
Support,6.9,9208.0,Yes,2.0,2.6,1.7,1
R&D,13.6,4217.0,No,13.0,2.8,6.9,0
Sales,9.0,5633.0,No,6.0,3.0,0.7,0
Sales,4.2,8425.0,No,5.0,2.7,6.6,0
Support,8.4,5475.0,No,11.0,3.0,0.4,0
R&D,9.9,5992.0,Yes,17.0,4.2,1.5,0
Sales,25.5,3258.0,Yes,39.0,3.9,1.1,0
R&D,5.7,6875.0,Yes,11.0,4.6,4.0,1
R&D,1.6,6725.0,No,12.0,1.8,12.2,0
R&D,0.7,6650.0,Yes,18.0,2.3,2.2,1
Support,0.8,5158.0,No,12.0,2.1,2.1,0
Sales,6.9,5975.0,No,19.0,4.2,2.0,0
Support,12.6,5325.0,Yes,21.0,4.0,1.0,0
Support,5.6,6692.0,Yes,6.0,2.8,2.0,0
R&D,4.5,5408.0,No,17.0,2.8,3.1,0
Sales,12.9,6600.0,No,7.0,3.6,2.4,0
R&D,4.3,3433.0,No,19.0,4.5,4.8,0
R&D,8.2,4942.0,No,6.0,4.8,5.1,0
Sales,7.0,2083.0,Yes,1.0,2.7,3.2,1
Support,13.3,5208.0,No,9.0,4.1,5.3,0
R&D,1.6,6575.0,No,8.0,3.1,0.6,0
Sales,9.1,5042.0,No,20.0,4.8,3.3,0
Support,9.7,8925.0,No,5.0,5.0,1.8,0
R&D,8.4,3950.0,Yes,9.0,3.8,2.3,0
Support,7.0,4925.0,Yes,11.0,3.9,2.2,1
R&D,1.5,4050.0,No,19.0,1.0,1.9,1
Sales,2.4,4675.0,No,7.0,3.8,7.6,0
R&D,7.0,4725.0,Yes,6.0,1.7,2.5,1
R&D,6.4,3233.0,Yes,15.0,2.7,0.2,1
Sales,3.1,3967.0,No,2.0,4.1,3.7,0
Support,4.2,8450.0,No,3.0,1.8,4.7,0
R&D,6.5,5033.0,No,16.0,5.0,1.2,0
R&D,4.8,6783.0,No,4.0,2.8,0.5,0
R&D,5.8,3533.0,Yes,13.0,4.0,4.1,0
R&D,21.8,5250.0,No,19.0,2.8,2.8,0
Sales,6.7,6225.0,No,3.0,4.0,1.1,0
Support,2.7,5167.0,No,6.0,2.8,2.4,0
R&D,3.9,4658.0,Yes,12.0,3.2,2.2,0
Sales,8.8,5142.0,No,19.0,1.1,2.1,0
R&D,5.3,5467.0,Yes,11.0,4.2,2.6,0
R&D,6.7,6667.0,Yes,14.0,3.9,2.0,0
R&D,6.4,7217.0,No,14.0,3.0,2.1,0
Support,3.7,3458.0,No,6.0,3.0,1.2,0
R&D,4.4,2358.0,No,20.0,2.3,1.7,0
Sales,2.7,5133.0,Yes,11.0,2.6,2.5,1
Sales,7.7,5425.0,No,26.0,3.5,4.5,0
R&D,7.8,6492.0,No,4.0,3.6,1.3,0
R&D,7.1,7008.0,Yes,3.0,4.0,2.5,0
Sales,10.5,4433.0,No,5.0,4.4,4.3,0
R&D,6.9,8492.0,No,13.0,4.2,3.1,0
Support,4.1,5808.0,Yes,5.0,3.7,1.6,1
Sales,4.0,2783.0,No,13.0,3.6,1.0,0
R&D,4.1,6850.0,Yes,7.0,3.1,2.6,0
Support,14.1,5833.0,No,1.0,4.5,0.7,0
Sales,7.5,5850.0,No,2.0,2.6,2.2,0
R&D,3.5,3050.0,Yes,7.0,2.6,2.1,1
R&D,7.0,4967.0,No,8.0,3.6,3.6,0
Support,3.6,5658.0,No,11.0,2.0,3.0,0
R&D,3.4,5192.0,Yes,7.0,3.0,2.3,0
R&D,3.7,6442.0,Yes,28.0,1.9,1.7,0
Sales,2.6,7292.0,No,21.0,2.5,1.7,0
Support,0.9,7692.0,Yes,16.0,5.0,3.4,0
R&D,3.1,7283.0,No,14.0,1.8,1.7,0
R&D,11.3,5200.0,Yes,1.0,4.2,1.7,0
Support,4.3,7983.0,No,15.0,2.7,3.3,0
R&D,9.5,5808.0,No,12.0,2.2,1.3,0
Support,5.4,6700.0,Yes,9.0,1.9,0.2,0
Support,5.4,5058.0,No,4.0,3.9,4.0,0
R&D,5.8,3342.0,No,10.0,2.9,3.2,0
Sales,10.7,2083.0,No,11.0,3.3,2.9,0
R&D,6.5,5700.0,No,9.0,4.9,2.7,0
Support,9.7,4408.0,No,42.0,2.0,9.0,1
Sales,8.0,5408.0,Yes,3.0,1.3,3.1,1
R&D,6.5,6758.0,No,11.0,3.4,0.4,0
R&D,2.9,3142.0,No,14.0,4.6,2.3,0
Support,5.8,2792.0,No,5.0,3.5,1.7,0
Sales,4.7,5808.0,Yes,12.0,4.6,1.9,0
Support,5.7,5967.0,No,12.0,4.4,2.1,0
R&D,2.9,5017.0,No,15.0,3.6,1.7,0
Sales,9.6,4642.0,No,12.0,2.6,2.2,0
Sales,2.7,3050.0,Yes,6.0,3.4,0.9,1
Sales,6.3,5292.0,No,6.0,4.4,1.2,0
Sales,3.9,4317.0,Yes,6.0,3.8,0.9,0
Sales,14.3,6067.0,No,8.0,3.3,3.8,0
Support,5.5,6833.0,No,5.0,3.7,1.0,0
Support,16.7,4592.0,No,4.0,3.3,3.3,0
R&D,5.2,6042.0,No,12.0,4.1,11.6,0
R&D,17.5,5700.0,No,19.0,3.1,5.6,0
R&D,5.7,6467.0,No,10.0,4.9,1.9,0
Sales,10.5,7708.0,No,11.0,3.7,0.0,0
R&D,4.7,6408.0,Yes,15.0,3.5,1.3,0
R&D,7.4,6483.0,No,9.0,1.7,2.7,0
Support,0.3,6608.0,Yes,13.0,1.3,3.2,0
Sales,7.0,4783.0,Yes,18.0,3.2,1.0,0
R&D,0.6,5408.0,No,4.0,2.9,0.9,0
R&D,5.9,5933.0,No,4.0,5.0,4.6,0
Sales,8.8,7267.0,No,13.0,2.6,2.4,0
Support,0.2,7350.0,Yes,16.0,2.4,3.4,0
Support,5.3,8808.0,No,9.0,4.1,3.3,0
Support,7.4,3792.0,No,2.0,1.4,3.9,1
Support,6.7,5358.0,No,1.0,3.4,2.5,0
Sales,7.0,2850.0,No,40.0,2.1,4.2,0
Support,1.8,4617.0,No,16.0,1.0,1.4,0
R&D,6.3,2967.0,No,8.0,1.6,0.5,0
Sales,6.1,7158.0,No,34.0,3.2,1.1,1
Sales,3.8,6550.0,Yes,6.0,3.3,2.1,0
R&D,5.3,3817.0,No,9.0,3.0,1.9,0
Sales,16.3,5925.0,No,6.0,2.4,4.3,0
R&D,4.4,6525.0,No,7.0,3.3,3.5,0
Support,12.6,8017.0,No,19.0,3.5,0.8,0
Sales,28.8,6658.0,Yes,11.0,3.3,5.2,0
Sales,11.5,5608.0,Yes,4.0,4.8,0.1,0
R&D,6.1,5283.0,No,7.0,4.2,3.1,0
Support,8.4,6358.0,No,10.0,2.4,4.6,0
R&D,5.3,5875.0,Yes,7.0,2.7,2.5,0
R&D,5.1,4708.0,No,13.0,2.4,1.8,0
Sales,3.4,3600.0,No,14.0,3.4,1.1,0
Support,3.3,6992.0,No,13.0,4.2,2.0,0
R&D,5.6,4350.0,No,7.0,4.8,2.1,0
Sales,9.1,5017.0,Yes,11.0,3.4,0.6,0
Sales,9.9,6617.0,No,35.0,2.7,2.7,0
Sales,2.4,5342.0,No,4.0,2.3,5.3,1
R&D,39.0,7108.0,No,6.0,1.7,1.3,0
R&D,9.5,3750.0,No,6.0,4.9,4.3,0
Sales,8.5,6558.0,No,17.0,2.9,0.5,0
R&D,10.3,3442.0,No,7.0,2.8,2.4,0
R&D,2.4,3183.0,No,6.0,5.0,0.1,0
R&D,5.4,3867.0,No,1.0,2.7,1.9,0
Sales,6.6,5600.0,No,16.0,3.2,1.6,0
R&D,8.2,4417.0,No,11.0,3.7,1.7,0
R&D,4.8,3367.0,No,6.0,1.5,3.3,0
Sales,2.1,7208.0,No,39.0,2.0,0.7,0
R&D,0.9,3983.0,No,8.0,5.0,6.7,0
R&D,7.1,5250.0,Yes,28.0,3.6,0.5,0
R&D,3.5,5800.0,No,24.0,1.4,0.7,0
Support,5.6,4717.0,Yes,5.0,2.7,0.7,0
R&D,12.1,5958.0,Yes,16.0,3.2,2.9,0
R&D,5.3,6342.0,No,26.0,3.9,1.6,0
Sales,12.4,5267.0,No,11.0,3.2,3.1,0
Sales,7.0,6975.0,No,13.0,2.2,0.9,0
Sales,10.2,4533.0,No,11.0,3.3,0.6,0
Support,3.0,3842.0,Yes,1.0,4.3,2.2,0
Sales,6.1,5725.0,No,2.0,2.7,4.6,0
Support,15.6,3975.0,No,4.0,2.2,2.4,0
R&D,7.3,5983.0,Yes,16.0,2.3,0.3,0
Support,2.2,5267.0,No,20.0,1.1,4.8,0
R&D,4.5,4725.0,Yes,16.0,4.5,4.6,0
Sales,7.3,6283.0,No,3.0,3.6,0.8,0
R&D,17.8,6217.0,Yes,9.0,3.2,6.3,0
Support,5.4,2083.0,No,22.0,3.5,3.0,0
Sales,10.4,4942.0,No,18.0,4.5,4.1,0
Sales,8.1,5625.0,No,8.0,2.9,0.9,0
R&D,6.2,6150.0,No,9.0,2.0,1.1,0
Support,3.0,4608.0,Yes,7.0,4.3,4.1,0
Sales,1.4,3708.0,No,5.0,1.1,2.1,0
R&D,2.4,5608.0,No,16.0,3.0,8.9,1
R&D,4.4,6433.0,Yes,17.0,4.4,0.4,0
R&D,2.9,2350.0,No,3.0,4.8,2.4,0
R&D,5.0,3175.0,No,16.0,3.2,1.0,0
Sales,10.8,4542.0,Yes,2.0,3.2,2.8,0
Support,9.4,2083.0,No,4.0,3.2,1.8,0
R&D,3.2,4525.0,Yes,1.0,3.0,4.6,0
Sales,1.5,6642.0,No,4.0,3.2,4.5,0
Sales,1.2,3825.0,No,10.0,4.6,0.8,0
Support,4.2,5625.0,No,6.0,3.8,4.4,0
Sales,2.0,4092.0,No,1.0,4.9,2.4,0
Sales,4.9,6050.0,No,13.0,3.8,6.3,0
Sales,4.4,6383.0,No,3.0,3.0,3.2,0
R&D,3.0,7367.0,No,19.0,3.1,1.7,0
Support,0.4,5525.0,No,26.0,5.0,1.1,0
Support,7.8,6983.0,No,18.0,2.7,2.4,0
Support,12.6,6017.0,Yes,3.0,4.3,0.8,0
R&D,5.0,4708.0,Yes,10.0,2.4,1.3,0
R&D,1.3,7617.0,No,4.0,3.8,5.9,0
R&D,2.2,4525.0,No,14.0,3.0,6.9,1
Sales,5.2,5667.0,Yes,8.0,2.9,1.6,0
Sales,3.9,9075.0,No,6.0,2.5,0.1,0
Sales,5.0,6717.0,No,11.0,2.6,0.2,0
R&D,7.3,4183.0,Yes,11.0,3.5,0.7,0
R&D,2.4,5858.0,Yes,6.0,4.6,5.0,0
Sales,1.9,4592.0,No,6.0,3.7,3.6,0
Support,3.1,5200.0,No,7.0,2.5,3.0,1
Sales,8.3,3167.0,No,11.0,3.7,5.0,0
R&D,14.3,5742.0,No,27.0,1.0,1.8,0
Support,28.7,3092.0,No,8.0,3.2,0.0,0
Sales,3.0,5967.0,No,11.0,5.0,3.1,0
Support,22.9,5975.0,No,41.0,1.0,2.3,0
Support,5.8,6683.0,No,6.0,3.0,0.5,0
R&D,13.6,8750.0,No,11.0,4.2,2.6,0
Sales,4.2,2942.0,No,15.0,5.0,0.5,0
R&D,10.3,3625.0,No,7.0,4.5,1.9,1
Sales,2.0,3925.0,No,16.0,2.9,0.5,0
R&D,1.1,4567.0,No,22.0,4.9,4.5,0
R&D,13.1,6733.0,Yes,3.0,4.8,1.4,0
Support,7.0,4908.0,No,10.0,3.0,8.5,0
Sales,11.6,4533.0,Yes,4.0,3.4,7.0,0
Support,0.8,3725.0,No,26.0,2.5,1.3,0
R&D,9.6,4467.0,No,33.0,3.0,0.8,0
Sales,15.8,4758.0,Yes,2.0,4.6,1.9,0
Sales,4.1,5258.0,Yes,27.0,2.2,4.6,1
Support,6.3,3267.0,No,3.0,4.5,4.3,0
